employee_id,termination_date,termination_type,hr_notified_date
E11175,2025-07-18,Voluntary,2025-07-18
E10224,2025-07-25,Voluntary,2025-07-31
E10385,2025-07-28,Involuntary,2025-07-28
E10336,2025-07-28,Involuntary,2025-07-28
E10461,2025-07-28,Voluntary,2025-07-28
E10592,2025-07-29,Voluntary,2025-08-06
E10642,2025-07-29,Voluntary,2025-07-29
E10721,2025-07-29,Voluntary,2025-07-30
E10478,2025-07-31,Voluntary,2025-07-31
E11235,2025-08-04,Voluntary,2025-08-04
E10066,2025-08-05,Voluntary,2025-08-05
E10018,2025-08-05,Involuntary,2025-08-06
E10957,2025-08-06,Involuntary,2025-08-07
E10953,2025-08-12,Voluntary,2025-08-12
E10222,2025-08-14,Involuntary,2025-08-14
E11040,2025-08-14,Involuntary,2025-08-15
E10283,2025-08-14,Voluntary,2025-08-14
E11093,2025-08-22,Voluntary,2025-08-22
E11200,2025-08-25,Voluntary,2025-08-25
E10279,2025-08-26,Voluntary,2025-08-27
E10937,2025-08-26,Voluntary,2025-08-26
E10899,2025-08-28,Voluntary,2025-08-28
E10079,2025-08-29,Voluntary,2025-09-04
E10037,2025-09-05,Voluntary,2025-09-08
E10845,2025-09-05,Voluntary,2025-09-05
E10131,2025-09-10,Voluntary,2025-09-11
E10836,2025-09-10,Voluntary,2025-09-10
E10230,2025-09-10,Involuntary,2025-09-10
E10339,2025-09-11,Voluntary,2025-09-11
E11054,2025-09-11,Involuntary,2025-09-11
E11250,2025-09-11,Voluntary,2025-09-12
E10780,2025-09-12,Voluntary,2025-09-12
E10776,2025-09-12,Voluntary,2025-09-12
E11137,2025-09-15,Voluntary,2025-09-15
E10770,2025-09-17,Voluntary,2025-09-17
E10564,2025-09-17,Voluntary,2025-09-17
E11149,2025-09-17,Voluntary,2025-09-18
E10601,2025-09-17,Voluntary,2025-09-17
E10065,2025-09-24,Involuntary,2025-09-25
E11217,2025-09-24,Involuntary,2025-09-24
E10792,2025-10-01,Voluntary,2025-10-01
E10877,2025-10-01,Voluntary,2025-10-01
E11124,2025-10-01,Voluntary,2025-10-01
E10943,2025-10-02,Voluntary,2025-10-02
E10311,2025-10-03,Voluntary,2025-10-03
E10538,2025-10-06,Voluntary,2025-10-06
E10702,2025-10-06,Voluntary,2025-10-06
E11194,2025-10-09,Involuntary,2025-10-09
E10846,2025-10-09,Voluntary,2025-10-09
E11203,2025-10-10,Voluntary,2025-10-15
E10524,2025-10-13,Voluntary,2025-10-13
E10859,2025-10-15,Voluntary,2025-10-15
E10945,2025-10-16,Voluntary,2025-10-16
E10684,2025-10-17,Voluntary,2025-10-30
E10608,2025-10-20,Voluntary,2025-10-20
E10482,2025-10-22,Voluntary,2025-10-22
E11049,2025-10-24,Voluntary,2025-10-24
E11036,2025-10-24,Voluntary,2025-10-27
E11232,2025-10-24,Voluntary,2025-10-24
E10629,2025-10-27,Voluntary,2025-10-28
E10402,2025-10-29,Voluntary,2025-10-29
E10979,2025-10-29,Voluntary,2025-10-29
E10767,2025-10-29,Voluntary,2025-10-29
E10973,2025-10-30,Involuntary,2025-10-30
E10426,2025-10-31,Involuntary,2025-10-31
E11123,2025-11-05,Involuntary,2025-11-06
E10987,2025-11-06,Involuntary,2025-11-12
E10184,2025-11-10,Voluntary,2025-11-10
E10572,2025-11-10,Voluntary,2025-11-10
E10548,2025-11-10,Voluntary,2025-11-11
E10763,2025-11-13,Involuntary,2025-11-14
E10349,2025-11-14,Voluntary,2025-11-17
E10456,2025-11-17,Voluntary,2025-11-17
E10759,2025-11-18,Voluntary,2025-11-18
E10177,2025-11-18,Voluntary,2025-11-18
E11152,2025-11-20,Involuntary,2025-11-20
E11011,2025-11-21,Voluntary,2025-11-24
E10388,2025-11-24,Voluntary,2025-11-25
E11155,2025-12-01,Voluntary,2025-12-01
E10406,2025-12-02,Voluntary,2025-12-02
E10705,2025-12-02,Involuntary,2025-12-02
E10743,2025-12-03,Voluntary,2025-12-04
E10513,2025-12-03,Voluntary,2025-12-03
E10997,2025-12-08,Voluntary,2025-12-09
E10258,2025-12-09,Voluntary,2025-12-09
E10807,2025-12-10,Voluntary,2025-12-10
E10539,2025-12-10,Voluntary,2025-12-10
E10476,2025-12-11,Voluntary,2025-12-11
E10218,2025-12-12,Voluntary,2025-12-12
E10520,2025-12-12,Voluntary,2025-12-12
E10038,2025-12-16,Voluntary,2025-12-16
E10936,2025-12-17,Involuntary,2025-12-17
E10453,2025-12-18,Voluntary,2025-12-18
E10523,2025-12-18,Voluntary,2025-12-18
E10330,2025-12-19,Voluntary,2025-12-19
