grant_id,employee_id,system_id,access_level,request_ticket,date_granted,approver_id,access_end_date
G200275,E11175,TMS,Standard User,RITM102224,2013-10-25,E10773,2025-07-22
G200276,E10090,FCR,Power User,RITM100157,2013-10-28,E10179,
G200277,E11175,GL01,Standard User,RITM102225,2013-10-28,E10882,2025-07-23
G200278,E10090,GL01,Read Only,RITM100155,2013-10-29,E10664,
G200279,E10090,TMS,Read Only,RITM100156,2013-10-29,E10034,
G200280,E11175,FCR,Standard User,RITM102226,2013-10-29,E10289,2025-07-21
G200281,E10301,FCR,Power User,RITM100552,2013-11-01,E11231,
G200282,E10301,GL01,Standard User,RITM100553,2013-11-01,E10044,
G200283,E10403,LSP,Standard User,RITM100737,2013-11-05,E10764,
G200284,E10019,LSP,Read Only,RITM100032,2013-11-06,E10221,
G200285,E11033,FCR,Read Only,RITM101969,2013-11-21,E10100,
G200286,E10826,TMS,Standard User,RITM101580,2013-11-25,E10083,
G200287,E10350,TMS,Standard User,RITM100633,2013-12-02,E10764,2025-06-17
G200288,E10350,GL01,Standard User,RITM100634,2013-12-03,E10965,
G200289,E10350,FCR,Standard User,RITM100635,2013-12-03,E11223,
G200290,E10598,LSP,Standard User,RITM101121,2013-12-05,E11032,
G200291,E10598,GL01,Standard User,RITM101122,2013-12-05,E10762,
G200292,E10024,LSP,Read Only,RITM100039,2013-12-09,E11043,
G200293,E10554,GL01,Read Only,RITM101039,2013-12-09,E10752,
G200294,E10768,FCR,Standard User,RITM101458,2013-12-19,E10752,
G200295,E10089,TMS,Standard User,RITM100152,2013-12-27,E10348,
G200296,E10089,FCR,Power User,RITM100153,2013-12-27,E10017,
G200297,E10089,LSP,Standard User,RITM100154,2013-12-30,E10083,
G200298,E10142,GL01,Power User,RITM100258,2013-12-31,E10706,
G200299,E10142,LSP,Standard User,RITM100259,2014-01-01,E10764,
G200300,E10835,TMS,Standard User,RITM101598,2014-01-02,E10752,
G200301,E10361,TMS,Standard User,RITM100658,2014-01-15,E11223,
G200302,E10361,GL01,Standard User,RITM100657,2014-01-16,E11082,
G200303,E10764,LSP,Standard User,RITM101449,2014-01-20,E10200,
G200304,E10980,FCR,Standard User,RITM101874,2014-01-29,E10380,
G200305,E11087,GL01,Standard User,RITM102064,2014-01-29,E11231,2025-01-22
G200306,E11087,LSP,Standard User,RITM102065,2014-01-29,E10371,
G200307,E10332,TMS,Read Only,RITM100604,2014-01-30,E10542,
G200308,E10332,FCR,Standard User,RITM100605,2014-01-30,E10867,2025-03-20
G200309,E11087,FCR,Standard User,RITM102063,2014-01-30,E11016,
G200310,E10332,GL01,Power User,RITM100603,2014-01-31,E10323,
G200311,E10283,FCR,Power User,RITM100520,2014-02-10,E10197,2025-08-18
G200312,E10283,TMS,Standard User,RITM100521,2014-02-11,E10965,2025-08-21
G200313,E10594,GL01,Power User,RITM101114,2014-02-13,E10197,
G200314,E10847,LSP,Standard User,RITM101615,2014-03-03,E10449,
G200315,E10847,GL01,Read Only,RITM101614,2014-03-04,E11003,
G200316,E10847,FCR,Standard User,RITM101616,2014-03-06,E11003,
G200317,E11101,GL01,Standard User,RITM102088,2014-03-12,E10348,
G200318,E11101,LSP,Read Only,RITM102089,2014-03-13,E10171,
G200319,E11101,TMS,Power User,RITM102090,2014-03-14,E10059,
G200320,E11073,LSP,Read Only,RITM102035,2014-03-17,E10603,
G200321,E10758,TMS,Standard User,RITM101440,2014-04-08,E11223,
G200322,E10566,FCR,Standard User,RITM101060,2014-04-14,E10107,
G200323,E10708,LSP,Standard User,RITM101342,2014-05-01,E10288,2025-01-09
G200324,E10056,LSP,Power User,RITM100094,2014-05-13,E10752,2025-02-25
G200325,E10932,GL01,Power User,RITM101792,2014-05-13,E10934,
G200326,E11202,GL01,Standard User,RITM102276,2014-05-14,E11223,
G200327,E11202,LSP,Read Only,RITM102277,2014-05-14,E11043,
G200328,E10326,GL01,Read Only,RITM100594,2014-05-16,E11111,2025-02-28
G200329,E10523,TMS,Standard User,RITM100980,2014-05-16,E10934,2025-12-23
G200330,E10965,GL01,Read Only,RITM101853,2014-05-20,E10745,2025-03-18
G200331,E10965,LSP,Standard User,RITM101852,2014-05-21,E10114,
G200332,E10442,GL01,Read Only,RITM100816,2014-05-22,E10603,
G200333,E10506,GL01,Standard User,RITM100951,2014-05-26,E10648,
G200334,E10506,LSP,Standard User,RITM100952,2014-05-26,E10371,
G200335,E10124,GL01,Standard User,RITM100226,2014-05-27,E10187,
G200336,E10442,LSP,Standard User,RITM100817,2014-05-27,E10745,2025-09-12
G200337,E10124,LSP,Power User,RITM100227,2014-05-28,E10841,
G200338,E10842,LSP,Standard User,RITM101607,2014-05-28,E10882,
G200339,E10316,LSP,Power User,RITM100580,2014-06-04,E10083,
G200340,E10840,FCR,Power User,RITM101604,2014-06-04,E10831,
G200341,E10909,LSP,Read Only,RITM101741,2014-06-06,E10745,
G200342,E10030,LSP,Read Only,RITM100049,2014-06-11,E10542,
G200343,E10270,FCR,Standard User,RITM100501,2014-06-11,E10885,
G200344,E11047,LSP,Standard User,RITM101995,2014-06-11,E10187,
G200345,E10270,GL01,Power User,RITM100500,2014-06-12,E10069,
G200346,E10203,LSP,Standard User,RITM100375,2014-06-13,E10542,
G200347,E11047,GL01,Power User,RITM101994,2014-06-13,E10867,
G200348,E11182,LSP,Standard User,RITM102240,2014-06-17,E10288,
G200349,E10203,TMS,Standard User,RITM100376,2014-06-18,E10102,
G200350,E10518,LSP,Standard User,RITM100970,2014-06-19,E10017,
G200351,E10518,FCR,Standard User,RITM100971,2014-06-19,E10644,2025-10-27
G200352,E10185,LSP,Standard User,RITM100341,2014-06-24,E10764,2025-03-14
G200353,E10013,LSP,Power User,RITM100022,2014-06-30,E10966,2025-04-11
G200354,E10013,FCR,Standard User,RITM100024,2014-06-30,E10882,2025-04-09
G200355,E10013,TMS,Standard User,RITM100023,2014-07-01,E10304,2025-04-09
G200356,E10561,FCR,Read Only,RITM101050,2014-07-01,E10083,
G200357,E10561,GL01,Standard User,RITM101052,2014-07-01,E10102,
G200358,E10561,LSP,Read Only,RITM101051,2014-07-02,E10762,
G200359,E10446,TMS,Standard User,RITM100827,2014-07-03,E10650,
G200360,E10755,LSP,Power User,RITM101433,2014-07-03,E10187,
G200361,E10446,LSP,Read Only,RITM100828,2014-07-07,E10968,
G200362,E10544,FCR,Standard User,RITM101019,2014-07-14,E10044,2025-02-19
G200363,E10544,GL01,Standard User,RITM101021,2014-07-15,E10581,2025-02-18
G200364,E10544,LSP,Read Only,RITM101020,2014-07-17,E10059,2025-02-19
G200365,E11198,TMS,Read Only,RITM102270,2014-07-18,E10745,
G200366,E10278,LSP,Power User,RITM100513,2014-07-22,E10069,
G200367,E10278,GL01,Read Only,RITM100512,2014-07-23,E10106,
G200368,E10060,LSP,Read Only,RITM100102,2014-07-25,E10706,
G200369,E10278,FCR,Standard User,RITM100511,2014-07-25,E10289,
G200370,E11029,LSP,Power User,RITM101963,2014-08-01,E10323,
G200371,E10064,LSP,Standard User,RITM100108,2014-08-06,E10102,
G200372,E10531,FCR,Power User,RITM100993,2014-08-08,E11016,
G200373,E10531,TMS,Read Only,RITM100995,2014-08-08,E10288,
G200374,E10531,GL01,Standard User,RITM100994,2014-08-11,E10745,
G200375,E10547,TMS,Standard User,RITM101026,2014-08-11,E11069,
G200376,E11136,GL01,Read Only,RITM102148,2014-08-15,E10762,
G200377,E10172,LSP,Read Only,RITM100316,2014-08-18,E11082,
G200378,E10176,TMS,Standard User,RITM100324,2014-08-18,E10449,
G200379,E10176,GL01,Standard User,RITM100325,2014-08-18,E10357,
G200380,E10637,GL01,Read Only,RITM101193,2014-08-21,E10648,
G200381,E10786,LSP,Read Only,RITM101499,2014-08-21,E10773,
G200382,E11190,TMS,Standard User,RITM102256,2014-08-26,E10059,
G200383,E11190,FCR,Power User,RITM102255,2014-08-27,E10841,
G200384,E11190,GL01,Standard User,RITM102257,2014-08-27,E11223,2025-07-11
G200385,E11206,LSP,Standard User,RITM102283,2014-08-27,E10683,
G200386,E11206,TMS,Power User,RITM102282,2014-08-28,E10542,
