control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-CM-02,EX-CM-02-011,change_log.csv,CHG0030387,E10427,TMS,Normal,2025-08-13,2025-08-13,,,No documented rollback plan,Closed,2025-08-13,Normal change 'Modify cash positioning report' rollback_plan='No',R-05,6,170,11.6,Low
ITGC-CM-02,EX-CM-02-012,change_log.csv,CHG0030388,E10345,TMS,Normal,2025-08-13,2025-08-13,,,No documented rollback plan,Closed,2025-08-13,Normal change 'Update bank statement import parser' rollback_plan='N',R-05,6,170,11.6,Low
ITGC-CM-02,EX-CM-02-013,change_log.csv,CHG0030390,E10788,LSP,Normal,2025-08-14,2025-08-14,,,No documented rollback plan,Closed,2025-08-14,Normal change 'Deploy payment posting hotfix' rollback_plan='No',R-05,6,169,11.6,Low
ITGC-CM-02,EX-CM-02-014,change_log.csv,CHG0030395,E10087,LSP,Normal,2025-08-18,2025-08-18,,,No documented rollback plan,Closed,2025-08-18,Normal change 'Change escrow disbursement interface' rollback_plan='No',R-05,6,165,11.4,Low
ITGC-CM-02,EX-CM-02-015,change_log.csv,CHG0030422,E10153,LSP,Standard,2025-09-04,2025-09-04,,,No documented rollback plan,Closed,2025-09-04,Standard change 'Modify loan boarding field mapping' rollback_plan='N',R-05,6,148,10.9,Low
ITGC-CM-02,EX-CM-02-016,change_log.csv,CHG0030424,E10914,LSP,Normal,2025-09-04,2025-09-04,,,No documented rollback plan,Closed,2025-09-04,Normal change 'Adjust interest accrual calculation for ARM loans' rollback_plan='No',R-05,6,148,10.9,Low
ITGC-CM-02,EX-CM-02-017,change_log.csv,CHG0030454,E10163,FCR,Normal,2025-09-24,2025-09-24,,,No documented rollback plan,Closed,2025-09-24,Normal change 'Update XBRL tagging template' rollback_plan='N',R-05,6,128,10.2,Low
ITGC-CM-02,EX-CM-02-018,change_log.csv,CHG0030456,E10990,FCR,Normal,2025-09-24,2025-09-24,,,No documented rollback plan,Closed,2025-09-24,Normal change 'Update XBRL tagging template' rollback_plan='N',R-05,6,128,10.2,Low
ITGC-CM-02,EX-CM-02-019,change_log.csv,CHG0030500,E10076,GL01,Standard,2025-10-20,2025-10-20,,,No documented rollback plan,Closed,2025-10-20,Standard change 'Modify intercompany elimination rule' rollback_plan='No',R-05,6,102,9.4,Low
ITGC-CM-02,EX-CM-02-020,change_log.csv,CHG0030548,E10666,GL01,Normal,2025-11-12,2025-11-12,,,No documented rollback plan,Closed,2025-11-12,Normal change 'Upgrade GL reporting module' rollback_plan='No',R-05,6,79,8.6,Low
ITGC-CM-02,EX-CM-02-021,change_log.csv,CHG0030565,E10642,GL01,Standard,2025-11-24,2025-11-24,,,No documented rollback plan,Closed,2025-11-24,Standard change 'Add new cost center hierarchy' rollback_plan='No',R-05,6,67,8.2,Low
ITGC-CM-02,EX-CM-02-022,change_log.csv,CHG0030579,E10933,LSP,Normal,2025-12-02,2025-12-02,,,No documented rollback plan,Closed,2025-12-02,Normal change 'Change escrow disbursement interface' rollback_plan='No',R-05,6,59,7.9,Low
