control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-UA-01,EX-UA-01-016,user_access_log.csv,G202375,E10672,LSP,RITM101270,2025-07-14,2025-07-14,,,No approver recorded on grant,Closed,2025-07-14,Read Only access on LSP provisioned 2025-07-14 without approval evidence,R-01,12,200,25.2,Medium
ITGC-UA-01,EX-UA-01-017,user_access_log.csv,G202384,E10775,LSP,RITM101474,2025-07-15,2025-07-15,,,No approver recorded on grant,Closed,2025-07-15,Read Only access on LSP provisioned 2025-07-15 without approval evidence,R-01,12,199,25.1,Medium
ITGC-UA-01,EX-UA-01-018,user_access_log.csv,G202395,E10931,GL01,RITM101790,2025-07-16,2025-07-16,,,No approver recorded on grant,Closed,2025-07-16,Standard User access on GL01 provisioned 2025-07-16 without approval evidence,R-01,12,198,25.0,Medium
ITGC-UA-01,EX-UA-01-019,user_access_log.csv,G202423,E10186,LSP,RITM100343,2025-07-28,2025-07-28,,,No approver recorded on grant,Closed,2025-07-28,Power User access on LSP provisioned 2025-07-28 without approval evidence,R-01,12,186,24.2,Medium
ITGC-UA-01,EX-UA-01-020,user_access_log.csv,G202497,E10900,FCR,RITM101724,2025-09-04,2025-09-04,,,No approver recorded on grant,Closed,2025-09-04,Standard User access on FCR provisioned 2025-09-04 without approval evidence,R-01,12,148,21.7,Medium
ITGC-UA-01,EX-UA-01-021,user_access_log.csv,G202506,E10671,LSP,RITM101267,2025-09-11,2025-09-11,,,No approver recorded on grant,Closed,2025-09-11,Read Only access on LSP provisioned 2025-09-11 without approval evidence,R-01,12,141,21.3,Medium
ITGC-UA-01,EX-UA-01-022,user_access_log.csv,G202511,E10521,FCR,RITM100975,2025-09-12,2025-09-12,,,No approver recorded on grant,Closed,2025-09-12,Read Only access on FCR provisioned 2025-09-12 without approval evidence,R-01,12,140,21.2,Medium
ITGC-UA-01,EX-UA-01-023,user_access_log.csv,G202577,E10556,LSP,RITM101042,2025-10-13,2025-10-13,,,No approver recorded on grant,Closed,2025-10-13,Read Only access on LSP provisioned 2025-10-13 without approval evidence,R-01,12,109,19.2,Low
ITGC-UA-01,EX-UA-01-024,user_access_log.csv,G202579,E10514,GL01,RITM100964,2025-10-14,2025-10-14,,,No approver recorded on grant,Closed,2025-10-14,Standard User access on GL01 provisioned 2025-10-14 without approval evidence,R-01,12,108,19.1,Low
ITGC-UA-01,EX-UA-01-025,user_access_log.csv,G202583,E10822,FCR,RITM101572,2025-10-14,2025-10-14,,,No approver recorded on grant,Closed,2025-10-14,Standard User access on FCR provisioned 2025-10-14 without approval evidence,R-01,12,108,19.1,Low
ITGC-UA-01,EX-UA-01-026,user_access_log.csv,G202587,E10631,TMS,RITM101184,2025-10-16,2025-10-16,,,No approver recorded on grant,Closed,2025-10-16,Standard User access on TMS provisioned 2025-10-16 without approval evidence,R-01,12,106,19.0,Low
ITGC-UA-01,EX-UA-01-027,user_access_log.csv,G202656,E10936,LSP,RITM101800,2025-11-18,2025-11-18,,,No approver recorded on grant,Closed,2025-11-18,Read Only access on LSP provisioned 2025-11-18 without approval evidence,R-01,12,73,16.8,Low
ITGC-UA-01,EX-UA-01-028,user_access_log.csv,G202670,E11213,GL01,RITM102295,2025-11-20,2025-11-20,,,No approver recorded on grant,Closed,2025-11-20,Standard User access on GL01 provisioned 2025-11-20 without approval evidence,R-01,12,71,16.7,Low
